Nome;Endereço;Data de Nascimento;Tipo do Cliente
asdf asdf asdf asfd asdf asfd asfd asd fasd f asdf asdf ;testesss asdfas df;27/09/2024;Pessoa Física
testesasdf;asdf asidjfh lkwejrb oa8s7df ;27/09/2024;Pessoa Física
asd1123f asdf;asdf asidjfh lkwejrb oa8s7df ;27/09/2024;Pessoa Física
123123123123123123;asdf asidjfh lkwejrb oa8s7df ;27/09/2024;Pessoa Física
Fernando silva silva;0103;01/03/1994;Pessoa Jurídica
sadfasdfasdfasdfasdfsadfasdfsaf;asdfsadf;01/03/1994;Pessoa Jurídica
tsadfsadf;asdfasdf;01/03/1994;Pessoa Jurídica
asdfasdfasdf;sadfasdfasdf;27/09/2024;Pessoa Física
asdfsadf; sadf asdf asdf ;27/09/2024;Pessoa Física
sadfasdfasdf; sadf asdf asdf ;27/09/2024;Pessoa Física
re;re;27/09/2024;Pessoa Física
fernanndnooooo; nfaosdfnasdlkfn;27/09/2024;Pessoa Física
asdfsafdsafdasdf;asdfasdfasdf;27/09/2024;Pessoa Física
 asdfasdf as;sadfasfdasdf;27/09/2024;Pessoa Física
 asdfasdf asasdf;asdfasdffasdfasdf;27/09/2024;Pessoa Física
sdfasdfasdf;asdfasdfasdf;27/09/2024;Pessoa Física
123123123;123123123123;27/09/2020;Pessoa Jurídica
fernando 12;fernando 12;27/09/2024;Pessoa Física
fernando 12;fernando 14;27/09/2024;Pessoa Física
fernando 12;fernando 14;26/09/2024;Pessoa Física
